"time","scorediff"
0,0
0.2,2
0.583333333333333,0
2.01666666666667,2
2.65,4
2.86666666666667,1
3.08333333333333,3
4.56666666666667,0
5.16666666666667,3
5.65,5
6.03333333333333,2
6.68333333333333,0
7.58333333333333,2
7.8,4
8.6,1
9.05,3
9.66666666666667,5
10.0166666666667,7
10.3666666666667,4
10.6333333333333,6
10.9333333333333,5
11.0333333333333,8
12.2666666666667,6
12.55,8
12.7333333333333,7
12.8666666666667,10
14,12
14.5166666666667,10
15.3166666666667,13
16.05,11
16.3333333333333,13
17.7,15
18.4833333333333,17
18.6333333333333,14
18.8,16
19,14
19.6833333333333,17
19.9833333333333,19
20.3333333333333,17
21.35,18
21.4,20
21.7333333333333,22
22.05,24
22.7833333333333,27
23.1833333333333,30
23.6666666666667,28
25.5166666666667,30
25.6666666666667,29
26.5166666666667,32
27.5833333333333,30
28.2666666666667,32
28.9666666666667,30
29.3666666666667,27
29.8166666666667,29
30.2333333333333,27
30.5833333333333,29
31.2166666666667,31
31.8,33
32.5166666666667,36
32.7666666666667,34
33.1333333333333,32
33.6833333333333,30
33.9833333333333,32
34.1833333333333,30
34.8333333333333,27
35.2,30
35.45,29
36.55,26
37.0666666666667,24
38.4166666666667,22
38.65,25
38.8833333333333,23
39.3666666666667,21
39.8333333333333,23
40.4,25
41.5833333333333,23
42.2833333333333,21
42.5666666666667,24
42.8333333333333,22
44.0166666666667,23
44.2333333333333,21
44.6166666666667,23
45.3666666666667,20
45.9166666666667,22
46.2166666666667,20
46.55,17
47.0333333333333,15
47.5166666666667,13
47.6666666666667,16
47.75,13
